#1	2	3	4	5		 6		7		 8 9	10
#n i j k X[0] X[1] X[2] J dJ av_dA
#step: 0
54	10	2	0	0.00571429	0.00142857	5e-07	-1.10704e+10	-1.10704e+10	-2.03405e-05
55	11	2	0	0.00628571	0.00142857	5e-07	-1.10704e+10	-1.10704e+10	-2.03403e-05
56	12	2	0	0.00685714	0.00142857	5e-07	-1.09616e+10	-1.09616e+10	-2.0125e-05
57	13	2	0	0.00742857	0.00142857	5e-07	-1.07712e+10	-1.07712e+10	-1.96888e-05
58	14	2	0	0.008	0.00142857	5e-07	-1.04176e+10	-1.04176e+10	-1.90157e-05
59	15	2	0	0.00857143	0.00142857	5e-07	-9.9552e+09	-9.9552e+09	-1.809e-05
60	16	2	0	0.00914286	0.00142857	5e-07	-9.2752e+09	-9.2752e+09	-1.68781e-05
61	17	2	0	0.00971429	0.00142857	5e-07	-8.4048e+09	-8.4048e+09	-1.53542e-05
62	18	2	0	0.0102857	0.00142857	5e-07	-7.208e+09	-7.208e+09	-1.34853e-05
63	19	2	0	0.0108571	0.00142857	5e-07	-5.6848e+09	-5.6848e+09	-1.12653e-05
64	20	2	0	0.0114286	0.00142857	5e-07	-2.312e+09	-2.312e+09	-8.69342e-06
65	21	2	0	0.012	0.00142857	5e-07	0	0	-6.43608e-06
66	0	3	0	0	0.002	5e-07	0	0	-5.61936e-06
67	1	3	0	0.000571429	0.002	5e-07	-4.08e+08	-4.08e+08	-7.24531e-06
68	2	3	0	0.00114286	0.002	5e-07	-3.5088e+09	-3.5088e+09	-9.38169e-06
69	3	3	0	0.00171429	0.002	5e-07	-4.7056e+09	-4.7056e+09	-1.12507e-05
70	4	3	0	0.00228571	0.002	5e-07	-5.7392e+09	-5.7392e+09	-1.2849e-05
71	5	3	0	0.00285714	0.002	5e-07	-6.528e+09	-6.528e+09	-1.4182e-05
72	6	3	0	0.00342857	0.002	5e-07	-7.1264e+09	-7.1264e+09	-1.52569e-05
73	7	3	0	0.004	0.002	5e-07	-7.5616e+09	-7.5616e+09	-1.609e-05
74	8	3	0	0.00457143	0.002	5e-07	-7.8608e+09	-7.8608e+09	-1.66987e-05
75	9	3	0	0.00514286	0.002	5e-07	-8.0784e+09	-8.0784e+09	-1.70982e-05
76	10	3	0	0.00571429	0.002	5e-07	-8.16e+09	-8.16e+09	-1.72936e-05
77	11	3	0	0.00628571	0.002	5e-07	-8.16e+09	-8.16e+09	-1.72936e-05
78	12	3	0	0.00685714	0.002	5e-07	-8.0784e+09	-8.0784e+09	-1.70982e-05
79	13	3	0	0.00742857	0.002	5e-07	-7.8608e+09	-7.8608e+09	-1.66985e-05
80	14	3	0	0.008	0.002	5e-07	-7.5616e+09	-7.5616e+09	-1.60899e-05
81	15	3	0	0.00857143	0.002	5e-07	-7.1264e+09	-7.1264e+09	-1.52568e-05
82	16	3	0	0.00914286	0.002	5e-07	-6.528e+09	-6.528e+09	-1.4182e-05
83	17	3	0	0.00971429	0.002	5e-07	-5.7392e+09	-5.7392e+09	-1.2849e-05
84	18	3	0	0.0102857	0.002	5e-07	-4.7056e+09	-4.7056e+09	-1.12507e-05
85	19	3	0	0.0108571	0.002	5e-07	-3.5088e+09	-3.5088e+09	-9.38169e-06
86	20	3	0	0.0114286	0.002	5e-07	-4.08e+08	-4.08e+08	-7.24531e-06
87	21	3	0	0.012	0.002	5e-07	0	0	-5.61936e-06
88	0	4	0	0	0.00257143	5e-07	0	0	-4.81419e-06
89	1	4	0	0.000571429	0.00257143	5e-07	-3.264e+08	-3.264e+08	-6.07551e-06
90	2	4	0	0.00114286	0.00257143	5e-07	-2.4752e+09	-2.4752e+09	-7.75904e-06
