#1  2  3  4  5  6  7	8  9   10
#n  i  j  k  x  y  z  r  FI  z
0	0	0	0	0.000285714	0	5e-07	0	0	0
1	1	0	0	0.000857143	0	5e-07	0	0	0
2	2	0	0	0.00142857	0	5e-07	0	0	0
3	3	0	0	0.002	0	5e-07	0	0	0
4	4	0	0	0.00257143	0	5e-07	0	0	0
5	5	0	0	0.00314286	0	5e-07	0	0	0
6	6	0	0	0.00371429	0	5e-07	0	0	0
7	7	0	0	0.00428571	0	5e-07	0	0	0
8	8	0	0	0.00485714	0	5e-07	0	0	0
9	9	0	0	0.00542857	0	5e-07	0	0	0
10	10	0	0	0.006	0	5e-07	0	0	0
11	11	0	0	0.00657143	0	5e-07	0	0	0
12	12	0	0	0.00714286	0	5e-07	0	0	0
13	13	0	0	0.00771429	0	5e-07	0	0	0
14	14	0	0	0.00828571	0	5e-07	0	0	0
15	15	0	0	0.00885714	0	5e-07	0	0	0
16	16	0	0	0.00942857	0	5e-07	0	0	0
17	17	0	0	0.01	0	5e-07	0	0	0
18	18	0	0	0.0105714	0	5e-07	0	0	0
19	19	0	0	0.0111429	0	5e-07	0	0	0
20	20	0	0	0.0117143	0	5e-07	0	0	0
21	0	1	0	0.000285714	0.000571429	5e-07	0	0	0
22	1	1	0	0.000857143	0.000571429	5e-07	0	0	0
23	2	1	0	0.00142857	0.000571429	5e-07	0	0	0
24	3	1	0	0.002	0.000571429	5e-07	0	0	0
25	4	1	0	0.00257143	0.000571429	5e-07	0	0	0
26	5	1	0	0.00314286	0.000571429	5e-07	0	0	0
27	6	1	0	0.00371429	0.000571429	5e-07	0	0	0
28	7	1	0	0.00428571	0.000571429	5e-07	0	0	0
29	8	1	0	0.00485714	0.000571429	5e-07	0	0	0
30	9	1	0	0.00542857	0.000571429	5e-07	0	0	0
31	10	1	0	0.006	0.000571429	5e-07	0	0	0
32	11	1	0	0.00657143	0.000571429	5e-07	0	0	0
33	12	1	0	0.00714286	0.000571429	5e-07	0	0	0
34	13	1	0	0.00771429	0.000571429	5e-07	0	0	0
35	14	1	0	0.00828571	0.000571429	5e-07	0	0	0
36	15	1	0	0.00885714	0.000571429	5e-07	0	0	0
37	16	1	0	0.00942857	0.000571429	5e-07	0	0	0
38	17	1	0	0.01	0.000571429	5e-07	0	0	0
39	18	1	0	0.0105714	0.000571429	5e-07	0	0	0
40	19	1	0	0.0111429	0.000571429	5e-07	0	0	0
41	20	1	0	0.0117143	0.000571429	5e-07	0	0	0
42	0	2	0	0.000285714	0.00114286	5e-07	0	0	0
43	1	2	0	0.000857143	0.00114286	5e-07	0	0	0
44	2	2	0	0.00142857	0.00114286	5e-07	0	0	0
45	3	2	0	0.002	0.00114286	5e-07	0	0	0
46	4	2	0	0.00257143	0.00114286	5e-07	0	0	0
47	5	2	0	0.00314286	0.00114286	5e-07	0	0	0
48	6	2	0	0.00371429	0.00114286	5e-07	0	0	0
49	7	2	0	0.00428571	0.00114286	5e-07	0	0	0
50	8	2	0	0.00485714	0.00114286	5e-07	0	0	0
51	9	2	0	0.00542857	0.00114286	5e-07	0	0	0
52	10	2	0	0.006	0.00114286	5e-07	0	0	0
53	11	2	0	0.00657143	0.00114286	5e-07	0	0	0
54	12	2	0	0.00714286	0.00114286	5e-07	0	0	0
55	13	2	0	0.00771429	0.00114286	5e-07	0	0	0
56	14	2	0	0.00828571	0.00114286	5e-07	0	0	0
57	15	2	0	0.00885714	0.00114286	5e-07	0	0	0
58	16	2	0	0.00942857	0.00114286	5e-07	0	0	0
59	17	2	0	0.01	0.00114286	5e-07	0	0	0
60	18	2	0	0.0105714	0.00114286	5e-07	0	0	0
61	19	2	0	0.0111429	0.00114286	5e-07	0	0	0
62	20	2	0	0.0117143	0.00114286	5e-07	0	0	0
63	0	3	0	0.000285714	0.00171429	5e-07	0	0	0
64	1	3	0	0.000857143	0.00171429	5e-07	0	0	0
65	2	3	0	0.00142857	0.00171429	5e-07	0	0	0
66	3	3	0	0.002	0.00171429	5e-07	0	0	0
67	4	3	0	0.00257143	0.00171429	5e-07	0	0	0
68	5	3	0	0.00314286	0.00171429	5e-07	0	0	0
69	6	3	0	0.00371429	0.00171429	5e-07	0	0	0
70	7	3	0	0.00428571	0.00171429	5e-07	0	0	0
71	8	3	0	0.00485714	0.00171429	5e-07	0	0	0
72	9	3	0	0.00542857	0.00171429	5e-07	0	0	0
73	10	3	0	0.006	0.00171429	5e-07	0	0	0
74	11	3	0	0.00657143	0.00171429	5e-07	0	0	0
75	12	3	0	0.00714286	0.00171429	5e-07	0	0	0
76	13	3	0	0.00771429	0.00171429	5e-07	0	0	0
77	14	3	0	0.00828571	0.00171429	5e-07	0	0	0
78	15	3	0	0.00885714	0.00171429	5e-07	0	0	0
79	16	3	0	0.00942857	0.00171429	5e-07	0	0	0
80	17	3	0	0.01	0.00171429	5e-07	0	0	0
81	18	3	0	0.0105714	0.00171429	5e-07	0	0	0
82	19	3	0	0.0111429	0.00171429	5e-07	0	0	0
83	20	3	0	0.0117143	0.00171429	5e-07	0	0	0
84	0	4	0	0.000285714	0.00228571	5e-07	0	0	0
