#1	2	3 4 5    6    7    8 9	10		 11  12   13
#n i j k X[0] X[1] X[2] J dJ av_dAa Aa0 snAy us
#step: 0
60	18	2	0	0.0105714	0.00114286	5e-07	-5.6848e+09	-5.6848e+09	3.57564e-05	0
61	19	2	0	0.0111429	0.00114286	5e-07	-7.1536e+09	-7.1536e+09	4.0226e-05	0
62	20	2	0	0.0117143	0.00114286	5e-07	-2.78256e+10	-2.78256e+10	4.46956e-05	0
63	0	3	0	0.000285714	0.00171429	5e-07	3.01376e+10	3.01376e+10	-4.46956e-05	0
64	1	3	0	0.000857143	0.00171429	5e-07	1.05264e+10	1.05264e+10	-4.0226e-05	0
65	2	3	0	0.00142857	0.00171429	5e-07	7.208e+09	7.208e+09	-3.57564e-05	0
66	3	3	0	0.002	0.00171429	5e-07	4.7056e+09	4.7056e+09	-3.12869e-05	0
67	4	3	0	0.00257143	0.00171429	5e-07	3.3456e+09	3.3456e+09	-2.68173e-05	0
68	5	3	0	0.00314286	0.00171429	5e-07	2.448e+09	2.448e+09	-2.23478e-05	0
69	6	3	0	0.00371429	0.00171429	5e-07	1.7408e+09	1.7408e+09	-1.78782e-05	0
70	7	3	0	0.00428571	0.00171429	5e-07	1.224e+09	1.224e+09	-1.34087e-05	0
71	8	3	0	0.00485714	0.00171429	5e-07	7.616e+08	7.616e+08	-8.93911e-06	0
72	9	3	0	0.00542857	0.00171429	5e-07	3.808e+08	3.808e+08	-4.46956e-06	0
73	10	3	0	0.006	0.00171429	5e-07	0	0	6.78426e-21	0
74	11	3	0	0.00657143	0.00171429	5e-07	-3.808e+08	-3.808e+08	4.46956e-06	0
75	12	3	0	0.00714286	0.00171429	5e-07	-7.616e+08	-7.616e+08	8.93911e-06	0
76	13	3	0	0.00771429	0.00171429	5e-07	-1.224e+09	-1.224e+09	1.34087e-05	0
77	14	3	0	0.00828571	0.00171429	5e-07	-1.7408e+09	-1.7408e+09	1.78782e-05	0
78	15	3	0	0.00885714	0.00171429	5e-07	-2.448e+09	-2.448e+09	2.23478e-05	0
79	16	3	0	0.00942857	0.00171429	5e-07	-3.3456e+09	-3.3456e+09	2.68173e-05	0
80	17	3	0	0.01	0.00171429	5e-07	-4.7056e+09	-4.7056e+09	3.12869e-05	0
81	18	3	0	0.0105714	0.00171429	5e-07	-7.208e+09	-7.208e+09	3.57564e-05	0
82	19	3	0	0.0111429	0.00171429	5e-07	-1.05264e+10	-1.05264e+10	4.0226e-05	0
83	20	3	0	0.0117143	0.00171429	5e-07	-3.01376e+10	-3.01376e+10	4.46956e-05	0
84	0	4	0	0.000285714	0.00228571	5e-07	3.05456e+10	3.05456e+10	-4.46956e-05	0
85	1	4	0	0.000857143	0.00228571	5e-07	1.36272e+10	1.36272e+10	-4.0226e-05	0
86	2	4	0	0.00142857	0.00228571	5e-07	8.4048e+09	8.4048e+09	-3.57564e-05	0
87	3	4	0	0.002	0.00228571	5e-07	5.7392e+09	5.7392e+09	-3.12869e-05	0
88	4	4	0	0.00257143	0.00228571	5e-07	4.1344e+09	4.1344e+09	-2.68173e-05	0
89	5	4	0	0.00314286	0.00228571	5e-07	3.0464e+09	3.0464e+09	-2.23478e-05	0
